date,mentions
2025-04-30,1
2025-05-01,3
2025-05-02,1
2025-05-04,1
2025-05-05,1
2025-05-08,1
2025-05-10,2
2025-05-12,1
2025-05-13,2
2025-05-14,1
2025-05-17,1
2025-05-18,2
2025-05-19,1
2025-05-20,2
2025-05-22,7
2025-05-23,3
2025-05-26,1
2025-05-27,1
2025-05-28,1
2025-05-29,6
2025-05-30,2
2025-05-31,2
2025-06-01,1
2025-06-04,1
2025-06-05,1
2025-06-07,1
2025-06-09,3
2025-06-10,3
2025-06-11,3
2025-06-12,4
2025-06-13,2
2025-06-17,5
2025-06-18,32
2025-06-19,5
2025-06-20,1
2025-06-22,9
2025-06-23,3
2025-06-25,26
2025-06-26,8
2025-06-27,2
2025-06-28,6
2025-06-29,6
2025-06-30,6
2025-07-01,3
2025-07-02,1
2025-07-03,1
2025-07-04,3
2025-07-05,1
2025-07-06,2
2025-07-07,2
2025-07-09,3
2025-07-10,6
2025-07-15,1
2025-07-16,3
2025-07-17,9
2025-07-18,14
2025-07-21,1
2025-07-22,1
2025-07-23,2
2025-07-25,4
2025-07-26,1
2025-07-28,3
2025-07-30,2
2025-07-31,2
2025-08-01,5
2025-08-03,2
2025-08-04,4
2025-08-05,8
2025-08-06,4
2025-08-07,4
2025-08-08,1
2025-08-10,2
2025-08-11,2
2025-08-12,2
2025-08-13,5
2025-08-16,1
2025-08-18,2
2025-08-19,4
2025-08-20,3
2025-08-21,7
2025-08-22,18
2025-08-23,1
2025-08-24,3
2025-08-25,2
2025-08-26,2
2025-08-27,3
2025-08-28,6
2025-08-29,7
2025-08-30,2
2025-08-31,2
2025-09-01,22
2025-09-02,5
2025-09-03,12
2025-09-04,21
2025-09-05,8
2025-09-06,2
2025-09-07,3
2025-09-08,7
2025-09-09,12
2025-09-10,21
2025-09-11,8
2025-09-12,5
2025-09-13,4
2025-09-14,2
2025-09-15,19
2025-09-16,5
2025-09-17,16
2025-09-18,17
2025-09-19,41
2025-09-20,1
2025-09-21,4
2025-09-22,25
2025-09-23,28
2025-09-24,92
2025-09-25,144
2025-09-26,36
